Roll No,Score,Rank
10067,34,51
10093,34,51
10132,34,51
10137,34,51
10144,34,51
10257,34,51
10285,34,51
10311,34,51
10314,34,51
10331,34,51
10379,34,51
10419,34,51
10424,34,51
10474,34,51
10478,34,51
10482,34,51
10554,34,51
10562,34,51
10584,34,51
10642,34,51
10643,34,51
10654,34,51
10682,34,51
10765,34,51
10159 LEKHAK,33,52
10214,33,52
10374,33,52
10400,33,52
10473,33,52
10487,33,52
10510,33,52
10560,33,52
10669,33,52
10704,33,52
10720,33,52
10745,33,52
10771,33,52
11508,33,52
10025,32,53
1005,32,53
10069,32,53
10106,32,53
10115,32,53
10171,32,53
10192,32,53
10193,32,53
10229,32,53
10244,32,53
10306,32,53
10428,32,53
10486,32,53
10565,32,53
10673,32,53
10755,32,53
10783,32,53
10806,32,53
11510,32,53
10002,31,54
10124,31,54
10177,31,54
10199,31,54
10216,31,54
10224,31,54
10321,31,54
10371,31,54
10385,31,54
10389,31,54
10397,31,54
10426,31,54
10564,31,54
10586,31,54
10662,31,54
10670,31,54
10763,31,54
11507,31,54
11509,31,54
10123,30,55
10205,30,55
10232,30,55
10256,30,55
10297,30,55
10302,30,55
10340,30,55
10416,30,55
10454,30,55
10603,30,55
10678,30,55
10810,30,55
10022,29,56
10054,29,56
10088,29,56
10151,29,56
10165,29,56
10191,29,56
10250,29,56
10255,29,56
10497,29,56
10547,29,56
10640,29,56
10730,29,56
10736,29,56
10794,29,56
10007,28,57
10149,28,57
10225,28,57
10282,28,57
10288,28,57
10577,28,57
10808,28,57
10135,27,58
10166,27,58
10243,27,58
10263,27,58
10310,27,58
10515,27,58
10545,27,58
10572,27,58
10573,27,58
10817,27,58
10027,26,59
10268,26,59
10458,26,59
10488,26,59
10509,26,59
10804,26,59
10809,26,59
10016,25,60
10174,25,60
10186,25,60
10241,25,60
10295,25,60
10575,25,60
10588,24,61
10787,24,61
367,24,61
10104,23,62
10152,23,62
10238,23,62
10523,23,62
10683,23,62
10777,23,62
10052,22,63
10091,22,63
10162,22,63
10165 MUKESH ,22,63
10721,22,63
10421,20,64
10612,20,64
10430,18,65
10260,17,66
10281,16,67
